지점,지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),일조(hr),일사(MJ/m2),전운량(10분위),중하층운량(10분위),최저운고(100m ),지면온도(°C),5cm 지중온도(°C)
119,수원,2019-01-01 01:00,-4.3,1.3,290,66,2.9,1031.1,,,3,3,9,-5.1,
119,수원,2019-01-01 02:00,-5.3,1.2,270,72,3,1031,,,0,0,,-5.8,
119,수원,2019-01-01 03:00,-6.6,.8,270,79,3,1031.5,,,0,0,,-6.4,
119,수원,2019-01-01 04:00,-6.9,.2,0,80,2.9,1030.8,,,0,0,,-6.6,
119,수원,2019-01-01 05:00,-6.9,1.6,270,80,2.9,1030.5,,,1,0,,-7,
119,수원,2019-01-01 06:00,-8.2,.7,180,86,2.8,1030.6,,,3,0,,-7.4,
119,수원,2019-01-01 07:00,-8.7,.2,0,89,2.8,1030.1,,,4,4,40,-7.5,
119,수원,2019-01-01 08:00,-8,.2,0,89,3,1030,0,0,7,7,40,-6.9,
119,수원,2019-01-01 09:00,-5.4,.6,270,71,2.9,1030.2,0,.15,7,7,35,-5,
119,수원,2019-01-01 10:00,-3.2,.7,320,55,2.7,1030.3,.8,.63,6,2,30,-4,
119,수원,2019-01-01 11:00,-2.8,1.8,290,50,2.5,1030.1,1,1.09,2,1,10,-1.4,
119,수원,2019-01-01 12:00,-.9,2.2,320,51,2.9,1028.9,1,1.37,1,1,9,-.5,
119,수원,2019-01-01 13:00,-1.4,4,290,56,3.1,1028,.6,1.2,7,7,9,-.2,
119,수원,2019-01-01 14:00,-1.2,4.2,290,57,3.2,1027.7,.4,.94,8,8,9,0,
119,수원,2019-01-01 15:00,-1.2,3.3,290,59,3.3,1027.9,.4,.74,5,5,9,-.5,
119,수원,2019-01-01 16:00,-.7,3.3,290,59,3.4,1027.7,.7,.61,3,3,9,-1,
119,수원,2019-01-01 17:00,-1.8,3.4,290,58,3.1,1028,.4,.19,1,1,10,-2.3,
119,수원,2019-01-01 18:00,-2.6,2.3,290,61,3.1,1028.3,0,.01,1,1,10,-3.4,
119,수원,2019-01-01 19:00,-3.1,2,290,59,2.9,1028.9,,,0,0,,-4,
119,수원,2019-01-01 20:00,-3.7,1.3,270,54,2.5,1029.1,,,0,0,,-4.6,
119,수원,2019-01-01 21:00,-4.3,1.7,290,55,2.4,1029.6,,,0,0,,-5.2,
119,수원,2019-01-01 22:00,-4.5,2.9,290,49,2.1,1029.5,,,0,0,,-5.4,
119,수원,2019-01-01 23:00,-4.8,3.6,340,50,2.1,1029.9,,,0,0,,-5.7,
119,수원,2019-01-02 00:00,-6.1,1.1,290,56,2.2,1030.3,,,0,0,,-6.4,
119,수원,2019-01-02 01:00,-6.8,1,290,58,2.1,1030.3,,,0,0,,-6.8,
119,수원,2019-01-02 02:00,-8.4,.4,0,68,2.2,1030.7,,,0,0,,-7.2,
119,수원,2019-01-02 03:00,-9.3,.1,0,75,2.3,1030.6,,,0,0,,-7.6,
119,수원,2019-01-02 04:00,-9.7,.4,0,78,2.3,1030.2,,,0,0,,-7.9,
119,수원,2019-01-02 05:00,-10.1,.3,0,86,2.4,1030.1,,,0,0,,-8.2,
119,수원,2019-01-02 06:00,-10.7,0,0,88,2.4,1030.4,,,0,0,,-8.4,
119,수원,2019-01-02 07:00,-10.3,.1,0,89,2.5,1031,,,0,0,,-8.6,
119,수원,2019-01-02 08:00,-10.3,.1,0,88,2.5,1031.5,0,0,0,0,,-8.6,
119,수원,2019-01-02 09:00,-6.5,.2,0,69,2.6,1032.1,.9,.3,0,0,,-7.6,
119,수원,2019-01-02 10:00,-3.9,.7,200,55,2.5,1032.3,1,.84,0,0,,-6.1,
119,수원,2019-01-02 11:00,-1.3,2.7,290,50,2.8,1031.8,1,1.3,0,0,,-2.2,
119,수원,2019-01-02 12:00,-.4,2.2,290,38,2.3,1030.7,1,1.63,0,0,,-.4,
119,수원,2019-01-02 13:00,.5,2,290,36,2.3,1029.8,1,1.71,0,0,,-2.3,
119,수원,2019-01-02 14:00,.6,2.4,270,35,2.2,1029.1,1,1.59,0,0,,-1.3,
119,수원,2019-01-02 15:00,.5,3.5,250,32,2,1029,1,1.37,0,0,,-1.7,
119,수원,2019-01-02 16:00,-1.1,3.2,270,33,1.9,1029.2,1,.92,0,0,,-2.6,
119,수원,2019-01-02 17:00,-1.9,2.7,270,38,2,1029.2,.9,.35,0,0,,-3.3,
119,수원,2019-01-02 18:00,-3.1,1.9,270,51,2.5,1029.8,.2,.02,0,0,,-4.2,
119,수원,2019-01-02 19:00,-3.6,1.4,290,48,2.3,1030.2,,,0,0,,-5,
